page_login.py               69 INFO     【登录业务】正在执行登录操作，用户名：18610453007 密码：1234567
base.py                     21 INFO     正在查找元素：('id', 'com.yunmall.lc:id/logon_account_textview') 超时时间：10 访问频率：0.5
base.py                     43 INFO     正在对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行清空操作
base.py                     46 INFO     对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行 输入：18610453007
base.py                     21 INFO     正在查找元素：('id', 'com.yunmall.lc:id/logon_password_textview') 超时时间：10 访问频率：0.5
base.py                     43 INFO     正在对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行清空操作
base.py                     46 INFO     对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行 输入：1234567
base.py                     21 INFO     正在查找元素：('id', 'com.yunmall.lc:id/logon_button') 超时时间：10 访问频率：0.5
base.py                     35 INFO     正在点击元素：('id', 'com.yunmall.lc:id/logon_button')
base.py                     21 INFO     正在查找元素：('xpath', "//*[contains(@text,'登录密码错误')]") 超时时间：10 访问频率：0.5
base.py                     56 INFO     获取包含 登录密码错误文本的 toast消息内容:登录密码错误 
base.py                     21 INFO     正在查找元素：('xpath', "//*[contains(@text,'登录密码错误')]") 超时时间：10 访问频率：0.5
